datetime_from_local,datetime_to_local,value,parameter
2024-07-29T00:00:00+04:00,2024-07-30T00:00:00+04:00,0.0,pm25
2024-10-02T00:00:00+04:00,2024-10-03T00:00:00+04:00,12.9,pm25
2024-10-03T00:00:00+04:00,2024-10-04T00:00:00+04:00,5.34,pm25
2024-10-04T00:00:00+04:00,2024-10-05T00:00:00+04:00,7.13,pm25
2024-10-05T00:00:00+04:00,2024-10-06T00:00:00+04:00,6.23,pm25
2024-10-06T00:00:00+04:00,2024-10-07T00:00:00+04:00,10.5,pm25
2024-10-07T00:00:00+04:00,2024-10-08T00:00:00+04:00,10.5,pm25
2024-10-08T00:00:00+04:00,2024-10-09T00:00:00+04:00,16.8,pm25
2024-10-09T00:00:00+04:00,2024-10-10T00:00:00+04:00,12.0,pm25
2024-10-10T00:00:00+04:00,2024-10-11T00:00:00+04:00,12.0,pm25
2024-10-11T00:00:00+04:00,2024-10-12T00:00:00+04:00,21.3,pm25
2024-10-12T00:00:00+04:00,2024-10-13T00:00:00+04:00,27.3,pm25
2024-10-13T00:00:00+04:00,2024-10-14T00:00:00+04:00,19.9,pm25
2024-10-14T00:00:00+04:00,2024-10-15T00:00:00+04:00,36.5,pm25
2024-10-15T00:00:00+04:00,2024-10-16T00:00:00+04:00,30.8,pm25
2024-10-16T00:00:00+04:00,2024-10-17T00:00:00+04:00,25.2,pm25
2024-10-17T00:00:00+04:00,2024-10-18T00:00:00+04:00,11.1,pm25
2024-10-18T00:00:00+04:00,2024-10-19T00:00:00+04:00,9.96,pm25
2024-10-19T00:00:00+04:00,2024-10-20T00:00:00+04:00,8.98,pm25
2024-10-20T00:00:00+04:00,2024-10-21T00:00:00+04:00,14.8,pm25
2024-10-21T00:00:00+04:00,2024-10-22T00:00:00+04:00,11.7,pm25
2024-10-22T00:00:00+04:00,2024-10-23T00:00:00+04:00,2.95,pm25
2024-10-23T00:00:00+04:00,2024-10-24T00:00:00+04:00,3.35,pm25
2024-10-24T00:00:00+04:00,2024-10-25T00:00:00+04:00,3.77,pm25
2024-10-25T00:00:00+04:00,2024-10-26T00:00:00+04:00,6.0,pm25
2024-10-26T00:00:00+04:00,2024-10-27T00:00:00+04:00,4.57,pm25
2024-10-27T00:00:00+04:00,2024-10-28T00:00:00+04:00,6.41,pm25
2024-10-28T00:00:00+04:00,2024-10-29T00:00:00+04:00,4.36,pm25
2024-10-29T00:00:00+04:00,2024-10-30T00:00:00+04:00,5.85,pm25
2024-10-30T00:00:00+04:00,2024-10-31T00:00:00+04:00,5.99,pm25
2024-10-31T00:00:00+04:00,2024-11-01T00:00:00+04:00,7.85,pm25
2024-11-01T00:00:00+04:00,2024-11-02T00:00:00+04:00,7.63,pm25
2024-11-02T00:00:00+04:00,2024-11-03T00:00:00+04:00,8.55,pm25
2024-11-03T00:00:00+04:00,2024-11-04T00:00:00+04:00,21.3,pm25
2024-11-04T00:00:00+04:00,2024-11-05T00:00:00+04:00,6.36,pm25
2024-11-05T00:00:00+04:00,2024-11-06T00:00:00+04:00,6.36,pm25
2024-11-06T00:00:00+04:00,2024-11-07T00:00:00+04:00,5.52,pm25
2024-11-07T00:00:00+04:00,2024-11-08T00:00:00+04:00,8.53,pm25
2024-11-08T00:00:00+04:00,2024-11-09T00:00:00+04:00,12.7,pm25
2024-11-09T00:00:00+04:00,2024-11-10T00:00:00+04:00,22.9,pm25
2024-11-10T00:00:00+04:00,2024-11-11T00:00:00+04:00,22.9,pm25
2024-11-11T00:00:00+04:00,2024-11-12T00:00:00+04:00,23.9,pm25
2024-11-12T00:00:00+04:00,2024-11-13T00:00:00+04:00,40.9,pm25
2024-11-13T00:00:00+04:00,2024-11-14T00:00:00+04:00,30.8,pm25
2024-11-14T00:00:00+04:00,2024-11-15T00:00:00+04:00,23.9,pm25
2024-11-15T00:00:00+04:00,2024-11-16T00:00:00+04:00,21.6,pm25
2024-11-16T00:00:00+04:00,2024-11-17T00:00:00+04:00,29.8,pm25
2024-11-17T00:00:00+04:00,2024-11-18T00:00:00+04:00,28.7,pm25
2024-11-18T00:00:00+04:00,2024-11-19T00:00:00+04:00,21.4,pm25
2024-11-19T00:00:00+04:00,2024-11-20T00:00:00+04:00,26.5,pm25
2024-11-20T00:00:00+04:00,2024-11-21T00:00:00+04:00,20.9,pm25
2024-11-21T00:00:00+04:00,2024-11-22T00:00:00+04:00,16.5,pm25
2024-11-22T00:00:00+04:00,2024-11-23T00:00:00+04:00,13.0,pm25
2024-11-23T00:00:00+04:00,2024-11-24T00:00:00+04:00,19.6,pm25
2024-11-24T00:00:00+04:00,2024-11-25T00:00:00+04:00,20.1,pm25
2024-11-25T00:00:00+04:00,2024-11-26T00:00:00+04:00,11.5,pm25
2024-11-26T00:00:00+04:00,2024-11-27T00:00:00+04:00,11.7,pm25
2024-11-27T00:00:00+04:00,2024-11-28T00:00:00+04:00,5.09,pm25
2024-11-28T00:00:00+04:00,2024-11-29T00:00:00+04:00,7.2,pm25
2024-11-29T00:00:00+04:00,2024-11-30T00:00:00+04:00,8.9,pm25
2024-11-30T00:00:00+04:00,2024-12-01T00:00:00+04:00,15.3,pm25
2024-12-01T00:00:00+04:00,2024-12-02T00:00:00+04:00,27.2,pm25
2024-12-02T00:00:00+04:00,2024-12-03T00:00:00+04:00,28.2,pm25
